City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-5.71,61,20,2.06,CA,1714188651
1,torre de moncorvo,41.1792,-7.0358,6.51,90,92,0.89,PT,1714188802
2,codrington,-38.2667,141.9667,15.12,50,79,2.12,AU,1714188803
3,kajiado,-1.8524,36.7768,15.69,97,100,2.13,KE,1714188803
4,waitangi,-43.9535,-176.5597,11.01,74,45,3.13,NZ,1714188803
5,qaqortoq,60.7167,-46.0333,-0.17,94,95,3.21,GL,1714188803
6,invercargill,-46.4,168.35,11.68,96,100,6.26,NZ,1714188803
7,razole,16.4833,81.8333,35.88,41,54,2.75,IN,1714188803
8,vilyuchinsk,52.9306,158.4028,3.15,99,100,0.85,RU,1714188803
9,albany,42.6001,-73.9662,7.55,55,0,1.47,US,1714188601
10,ilulissat,69.2167,-51.1,2.01,80,75,0.0,GL,1714188803
11,port-aux-francais,-49.35,70.2167,7.01,97,100,11.05,TF,1714188803
12,yaren,-0.5472,166.916,28.93,78,87,5.66,NR,1714188803
13,slave lake,55.2834,-114.769,3.99,60,0,1.54,CA,1714188720
14,urangan,-25.3,152.9,24.0,74,12,4.92,AU,1714188804
15,itoman,26.1247,127.6694,27.43,84,75,4.63,JP,1714188804
16,uzgen,40.7699,73.3007,15.16,49,99,1.22,KG,1714188804
17,isafjordur,66.0755,-23.124,-1.1,84,11,2.79,IS,1714188539
18,buka,40.8108,69.1986,20.0,43,100,1.86,UZ,1714188804
19,grytviken,-54.2811,-36.5092,4.35,99,96,2.1,GS,1714188804
20,broome,42.2506,-75.833,7.6,74,45,1.87,US,1714188804
21,grand falls-windsor,48.9332,-55.6649,0.84,72,100,3.19,CA,1714188804
22,pitimbu,-7.4706,-34.8086,26.33,81,97,4.69,BR,1714188804
23,mili,6.0815,171.735,27.87,83,100,6.26,MH,1714188804
24,ust-nera,64.5667,143.2,-1.71,91,100,4.34,RU,1714188804
25,georgetown,5.4112,100.3354,32.96,67,20,2.57,MY,1714188611
26,avarua,-21.2078,-159.775,27.03,83,20,6.69,CK,1714188805
27,isabela,6.7085,121.9711,32.03,66,84,1.44,PH,1714188805
28,adamstown,-25.066,-130.1015,23.48,87,100,7.29,PN,1714188805
29,hawaiian paradise park,19.5933,-154.9731,22.24,95,100,3.09,US,1714188805
30,huadian,42.9633,126.7478,16.95,47,88,3.11,CN,1714188805
31,tiksi,71.6872,128.8694,-11.86,77,78,4.54,RU,1714188805
32,conil de la frontera,36.2772,-6.0885,13.88,84,94,7.06,ES,1714188805
33,suva,-18.1416,178.4415,30.71,70,40,3.09,FJ,1714188805
34,iqaluit,63.7506,-68.5145,-15.15,78,40,2.06,CA,1714188518
35,jagraon,30.7833,75.4833,33.46,21,2,5.97,IN,1714188805
36,kodiak,57.79,-152.4072,2.73,93,40,7.2,US,1714188806
37,bayanhongor,46.7167,100.1167,-5.27,85,100,0.5,MN,1714188806
38,minas de marcona,-15.2119,-75.1103,15.2,86,75,4.84,PE,1714188806
39,moissala,8.3404,17.7663,28.7,50,100,3.57,TD,1714188806
40,zhangye,38.9342,100.4517,14.71,26,94,5.56,CN,1714188806
41,aleg,17.0481,-13.9209,29.16,33,7,7.04,MR,1714188806
42,yeppoon,-23.1333,150.7333,25.88,75,80,8.63,AU,1714188806
43,bikapur,26.6,82.1333,37.37,18,93,5.68,IN,1714188806
44,stanley,54.868,-1.6985,-0.13,96,20,0.0,GB,1714188806
45,blackmans bay,-43.0167,147.3167,16.96,61,53,0.89,AU,1714188806
46,ushuaia,-54.8,-68.3,0.81,75,40,1.54,AR,1714188542
47,lebu,-37.6167,-73.65,9.4,77,99,2.04,CL,1714188807
48,selfoss,63.9331,-20.9971,1.91,69,0,4.65,IS,1714188807
49,mossel bay,-34.1831,22.146,14.96,90,6,6.51,ZA,1714188807
50,curuzu cuatia,-29.7917,-58.0546,22.57,92,7,2.2,AR,1714188807
51,raja,8.4596,25.678,27.08,49,86,3.5,SS,1714188807
52,thompson,55.7435,-97.8558,1.09,55,20,4.63,CA,1714188807
53,talnakh,69.4865,88.3972,-7.09,90,100,2.63,RU,1714188807
54,junnar,19.2,73.8833,31.85,32,0,2.9,IN,1714188807
55,kariba,-16.5167,28.8,19.18,70,33,2.05,ZW,1714188807
56,ladario,-19.0047,-57.6017,25.04,56,6,0.25,BR,1714188808
57,college,64.8569,-147.8028,14.18,38,75,3.09,US,1714188808
58,port mathurin,-19.6833,63.4167,26.05,78,20,7.2,MU,1714188808
59,kangding,30.0513,101.9603,18.92,32,1,0.99,CN,1714188808
60,kilju,40.9642,129.3278,27.23,31,42,3.76,KP,1714188808
61,shenkursk,62.1091,42.896,9.61,98,100,2.81,RU,1714188808
62,ust'-barguzin,53.45,108.9833,2.56,64,96,2.08,RU,1714188648
63,edinburgh of the seven seas,-37.0676,-12.3116,16.05,81,11,12.49,SH,1714188808
64,bethel,41.3712,-73.414,8.2,63,0,1.34,US,1714188808
65,saint-raphael,19.4333,-72.2,21.25,98,80,1.87,HT,1714188808
66,margaret river,-33.95,115.0667,19.64,48,29,4.27,AU,1714188809
67,west island,-12.1568,96.8225,29.99,74,40,5.66,CC,1714188809
68,mahina,-17.5065,-149.489,30.87,66,75,2.57,PF,1714188809
69,bredasdorp,-34.5322,20.0403,15.63,89,33,7.8,ZA,1714188809
70,tsiombe,-25.3,45.4833,21.98,94,17,2.86,MG,1714188809
71,hammerfest,70.6634,23.6821,1.25,86,100,7.2,NO,1714188809
72,roma,43.2128,-75.4557,8.08,36,0,3.09,US,1714188722
73,orrville,40.8437,-81.764,17.43,55,100,6.17,US,1714188809
74,urcos,-13.6861,-71.6228,11.94,90,35,1.95,PE,1714188810
75,holualoa,19.6228,-155.9522,23.91,85,75,4.12,US,1714188810
76,namdrik,5.5994,168.1028,27.76,84,100,6.96,MH,1714188810
77,takoradi,4.8845,-1.7554,27.67,86,26,2.48,GH,1714188810
78,san clemente del tuyu,-36.3569,-56.7235,13.32,87,100,7.43,AR,1714188530
79,khulm,36.6974,67.6983,16.41,59,100,2.91,AF,1714188810
80,igunga,-4.2833,33.8833,18.46,98,100,2.24,TZ,1714188810
81,davos,46.8043,9.8372,0.95,87,42,4.21,CH,1714188810
82,yelabuga,55.7613,52.0649,16.75,73,99,4.36,RU,1714188810
83,sabang,5.8933,95.3214,29.45,75,72,1.99,ID,1714188811
84,saipan,15.1355,145.701,32.39,58,20,8.75,MP,1714188811
